Code;Libellé;Centroide_X;Centroide_Y
2104;Bouffignereux;3,846034201;49,37850507
2105;Bouresches;3,316672681;49,06712249
2106;Bourg-et-Comin;3,659529711;49,40275174
2107;Bourguignon-sous-Coucy;3,154531408;49,54327604
2108;Bourguignon-sous-Montbavin;3,536940525;49,52927399
2109;La Bouteille;3,961845891;49,87842294
2110;Braine;3,537033578;49,3485101
2111;Brancourt-en-Laonnois;3,412742955;49,5166235
2112;Brancourt-le-Grand;3,394228684;49,98045341
2114;Brasles;3,423810131;49,05702752
2115;Braye-en-Laonnois;3,609825344;49,4374846
2116;Braye-en-Thiérache;3,962203774;49,76805784
2117;Bray-Saint-Christophe;3,141509193;49,77411857
2118;Braye;3,376923346;49,42234667
2119;Brécy;3,423501505;49,14045273
2120;Brenelle;3,544360253;49,36830384
2121;Breny;3,350002094;49,18438191
2122;Brie;3,473083248;49,59736566
2123;Brissay-Choigny;3,397133261;49,72300203
2124;Brissy-Hamégicourt;3,39997877;49,74277066
2125;Brumetz;3,153809325;49,11051977
2126;Brunehamel;4,18602654;49,77140159
2127;Bruyères-sur-Fère;3,445349452;49,19963397
2128;Bruyères-et-Montbérault;3,669373749;49,52464776
2129;Bruys;3,568362992;49,26206614
2130;Bucilly;4,093361361;49,86628036
2131;Bucy-le-Long;3,398613588;49,38793075
2132;Bucy-lès-Cerny;3,496506263;49,57915067
2133;Bucy-lès-Pierrepont;3,902883459;49,64619658
2134;Buire;4,056867604;49,90756122
2135;Buironfosse;3,838367027;49,95829117
2136;Burelles;3,911598089;49,76887329
2137;Bussiares;3,250289443;49,0766599
2138;Buzancy;3,34781796;49,31019591
2139;Caillouël-Crépigny;3,121584435;49,61776128
2140;Camelin;3,127635105;49,52040071
2141;La Capelle;3,91330351;49,9734405
2142;Castres;3,253430081;49,80078335
2143;Le Catelet;3,243192048;50,00102677
2144;Caulaincourt;3,111060466;49,86477335
2145;Caumont;3,172137695;49,63782109
2146;Celles-lès-Condé;3,56938107;49,0149011
2147;La Celle-sous-Montmirail;3,468209073;48,8570004
2148;Celles-sur-Aisne;3,47500831;49,41571027
2149;Cerizy;3,331992484;49,76661236
2150;Cerny-en-Laonnois;3,679036607;49,45019076
2151;Cerny-lès-Bucy;3,546225969;49,57782315
2152;Cerseuil;3,517546277;49,32447089
2153;Cessières;3,50246808;49,55958303
2154;Chacrise;3,397441867;49,29991637
2155;Chaillevois;3,522326943;49,50800132
2156;Chalandry;3,644639412;49,67032963
2157;Chambry;3,671650433;49,59857559
2158;Chamouille;3,670797938;49,47265302
2159;Champs;3,261510944;49,54395463
2160;Chaourse;3,985919475;49,70049498
2161;La Chapelle-Monthodon;3,644968009;49,02227513
2162;La Chapelle-sur-Chézy;3,376491311;48,94949821
2163;Charly-sur-Marne;3,293465467;48,98966863
2164;Le Charmel;3,541709451;49,11247189
2165;Charmes;3,384750343;49,65099711
2166;Chartèves;3,508937819;49,09001568
2167;Chassemy;3,502386921;49,37793285
2168;Château-Thierry;3,38130675;49,05635985
2169;Châtillon-lès-Sons;3,702987714;49,76182085
2170;Châtillon-sur-Oise;3,416872048;49,79386292
2171;Chaudardes;3,789275384;49,39639897
2172;Chaudun;3,25271321;49,315224
2173;Chauny;3,219179831;49,61955278
2174;Chavignon;3,518625071;49,47894927
2175;Chavigny;3,305480867;49,42307295
2176;Chavonne;3,562250375;49,40748935
2177;Chérêt;3,68692049;49,51424694
2178;Chermizy-Ailles;3,720132662;49,46340616
2179;Chéry-Chartreuve;3,604614829;49,25570425
2180;Chéry-lès-Pouilly;3,593760707;49,64895389
2181;Chéry-lès-Rozoy;4,101278559;49,72259026
2182;Chevennes;3,736103221;49,81795417
